,accuracy,ROC_score,CM_TT,CM_TF,CM_FT,CM_FF
LogisticRegression,0.92057168872557,0.7414250980307678,0.9196286299632532,0.0007967220578192579,0.07863158921661084,0.0009430587623166727
LogisticRegressionCVL1,0.9204253520210725,0.6955958367995051,0.9204253520210725,0.0,0.07957464797892752,0.0
LogisticRegressionCVL2,0.9204253520210725,0.736288091456342,0.9204090923872394,1.6259633833046078e-05,0.07955838834509447,1.6259633833046078e-05
ExtraTreesClassifier,0.9205229098240708,0.6953094823803354,0.9203603134857404,6.503853533218431e-05,0.07941205164059706,0.00016259633833046083
RandomForestClassifier,0.9204903905564048,0.7086985633733626,0.9203928327534064,3.2519267666092156e-05,0.07947709017592924,9.755780299827648e-05
GradientBoostingClassifier,0.9206529868947352,0.7481589108980368,0.919579851061754,0.0008455009593183961,0.07850151214594647,0.0010731358329810414
TunedGradientBoostingClassifier,0.7931611980098208,0.7482432905464704,0.7514064583265585,0.169018893694514,0.03781990829566518,0.041754739683262335
